0,1
2,3
4,5
6,7
8,9
10,11
12,13
14,15
16,17
18,19
20,21
22,23
24,25
26,17
27,28
29,30
31,32
33,34
35,36
37,38
38,39
40,41
42,43
44,45
46,47
48,49
50,44
51,52
53,54
55,56
57,15
58,59
60,61
62,63
64,65
66,67
68,69
70,71
72,73
74,75
76,77
78,79
58,80
81,0
82,83
84,85
86,87
70,88
68,89
90,91
92,93
94,95
29,96
97,38
67,98
66,99
54,100
101,102
103,104
105,31
29,106
107,108
109,110
67,111
112,113
114,105
115,116
32,117
66,118
119,120
121,122
123,124
125,126
127,128
129,130
131,132
133,134
135,136
137,138
139,140
19,141
142,143
144,145
109,17
146,32
147,148
149,150
151,152
153,144
154,155
156,157
158,159
157,160
161,162
163,164
38,165
29,166
94,167
168,110
169,170
171,172
75,173
174,175
176,41
177,178
101,47
101,31
78,157
179,180
181,182
183,117
184,185
15,186
187,188
22,117
15,189
110,74
190,191
192,193
194,151
195,93
15,196
197,93
198,199
200,201
30,202
144,203
31,52
204,38
205,121
44,52
206,79
207,74
3,208
209,38
29,210
110,211
52,212
213,74
214,132
215,191
216,217
38,218
219,220
44,221
222,223
224,225
66,158
226,151
157,134
103,98
121,222
227,38
3,228
126,158
229,132
137,230
231,232
30,233
79,134
234,235
67,52
179,236
237,238
68,224
239,240
237,241
15,242
243,244
245,20
12,246
94,247
248,110
249,250
251,252
253,222
94,254
255,79
256,175
257,258
237,127
195,259
68,195
137,87
260,20
87,151
261,262
263,151
38,218
15,264
265,266
267,268
269,137
38,270
271,157
272,12
273,55
224,274
275,276
277,278
200,279
216,280
70,281
282,144
197,132
283,284
285,32
286,93
287,288
289,38
29,290
291,292
15,293
150,294
52,283
15,295
296,297
298,299
238,145
300,301
302,303
32,304
237,305
306,44
12,259
22,307
7,98
308,309
38,259
20,166
127,310
311,15
191,312
313,211
314,315
101,41
316,317
12,244
318,12
68,319
109,320
321,12
191,32
144,322
323,32
15,324
81,325
326,41
327,328
329,134
287,330
331,175
332,333
334,309
61,145
335,336
337,338
339,126
3,87
70,176
340,341
201,222
26,342
343,344
345,346
15,347
105,348
105,164
349,350
32,252
351,309
352,164
353,224
354,355
356,38
175,357
15,358
52,359
360,107
361,32
362,363
364,175
55,365
237,43
366,269
367,271
368,5
79,369
370,371
372,17
373,374
375,20
38,376
377,378
379,380
227,381
15,382
383,38
384,141
385,41
386,271
305,387
52,388
389,390
195,391
392,169
66,393
55,394
67,110
221,17
127,395
396,199
397,151
15,43
398,349
399,124
400,401
145,390
70,402
55,403
404,195
337,405
406,407
408,409
410,191
58,411
79,412
29,413
238,363
414,137
415,158
15,416
32,124
150,84
417,418
127,419
420,199
305,145
421,202
422,423
424,32
237,105
221,425
82,252
426,427
428,429
430,224
431,387
432,433
30,154
387,315
44,65
179,137
434,435
436,437
12,438
439,440
362,441
144,442
52,134
443,444
445,27
446,169
447,191
29,448
449,363
298,270
20,126
121,450
451,362
452,52
298,453
353,208
454,242
237,455
298,456
237,457
458,459
141,317
460,461
305,462
463,175
164,464
465,354
466,467
191,468
469,1
470,132
471,271
472,48
473,474
475,193
476,309
477,38
52,478
479,38
480,128
150,481
482,409
41,483
6,175
484,1
107,485
456,315
38,486
137,440
66,487
488,489
83,20
55,490
150,491
409,492
493,494
495,496
35,15
497,93
22,12
176,482
498,91
499,500
30,20
501,164
502,503
504,32
94,505
500,506
144,507
508,509
510,141
511,110
29,217
12,512
513,390
144,190
514,41
255,515
516,517
518,135
52,20
127,519
520,363
249,32
84,521
314,310
522,38
523,390
524,127
38,525
150,42
105,526
527,528
529,134
369,32
144,434
530,117
101,94
531,15
22,134
287,48
532,182
533,38
534,124
530,202
101,446
535,126
536,157
468,315
537,98
538,539
20,540
541,127
224,5
137,169
542,164
543,109
31,145
530,544
362,545
3,546
547,134
3,120
548,549
44,550
551,70
30,552
553,333
52,274
554,98
555,93
349,556
70,333
48,98
150,7
557,1
346,41
105,17
323,32
127,558
29,559
380,560
561,145
81,65
461,562
144,145
563,333
54,564
565,195
566,357
151,567
568,132
569,32
570,571
150,157
572,79
573,574
68,575
576,199
504,461
577,32
81,274
191,578
501,579
29,580
237,581
191,134
141,485
582,94
583,584
390,191
74,32
67,175
14,585
66,586
298,349
101,561
287,150
587,110
354,41
4,134
442,98
10,380
588,589
404,139
144,590
591,592
593,582
193,7
20,594
595,141
33,468
228,134
84,492
109,596
597,598
435,175
599,201
600,164
601,98
331,38
548,94
602,154
105,603
604,132
127,605
20,98
29,37
164,606
141,607
608,63
15,609
610,434
496,175
611,612
237,613
101,38
614,132
615,38
337,616
329,175
617,401
618,619
620,134
141,166
29,621
622,549
362,623
144,624
625,211
583,387
626,150
66,627
253,125
403,628
195,175
629,333
52,315
38,630
29,554
207,175
38,631
632,158
349,633
30,634
66,635
3,108
126,134
636,151
637,58
638,617
24,191
639,640
641,642
610,253
643,224
3,644
57,166
645,646
647,494
200,584
105,169
648,74
232,224
12,201
253,256
569,556
649,134
200,93
255,17
650,157
30,48
150,41
199,651
476,20
415,38
533,502
216,79
652,132
63,653
255,169
52,654
655,74
656,98
286,657
388,17
29,658
307,380
44,126
216,61
659,660
29,167
661,191
662,108
663,98
664,141
665,132
52,93
451,666
301,667
145,668
145,191
224,669
670,395
55,346
671,110
672,17
200,673
29,449
52,7
